"Part";"Value";"Device";"Package";"Description";"EAGLEUP";"MPN";"PN";"VALUE";
"C1";"10uf";"CERAMIC-10UF-10V-10%-X5R(0603)";"C0603";"302010103";"";"CC0603KRX5R6BB106";"";"10uf";
"C2";"1uf";"CERAMIC-1UF-25V-10%-X7R(0603)";"C0603";"302010139";"";"CC0603KRX7R8BB105";"";"1uf";
"C3";"1uf";"CERAMIC-1UF-25V-10%-X7R(0603)";"C0603";"302010139";"";"CC0603KRX7R8BB105";"";"1uf";
"C4";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"";"CC0805KKX5R8BB106";"302010178";"10uf";
"C5";"100nF";"CAP-0402";"C0402";"Ceramic Capacitors";"";"";"302010004";"";
"C6";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"";"CC0805KKX5R8BB106";"302010178";"10uf";
"C7";"100nF";"CAP-0402";"C0402";"Ceramic Capacitors";"";"";"302010004";"";
"C8";"47uf";"TANTALUM-SMD-47UF-6.3V(AVX-A)";"AVX-A";"302020005";"";"TAJA476*006#NJ";"";"47uf";
"C9";"DNP";"CAP_AVX_B";"AVX-B";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";"";"";"";
"C10";"22uf";"CERAMIC-22UF-6.3V-20%-X5R(0805)";"C0805";"302010171";"";"CC0805MKX5R5BB226";"";"22uf";
"C11";"4.7uf";"CERAMIC-4.7UF-10V-10%-X5R(0603)";"C0603";"302010111";"";"CC0603KRX5R6BB475";"";"4.7uf";
"C12";"2.2nF(DNP)";"C-0603";"C0603";"Ceramic Capacitors";"";"";"";"";
"C13";"22uf";"CERAMIC-22UF-6.3V-20%-X5R(0805)";"C0805";"302010171";"";"CC0805MKX5R5BB226";"";"22uf";
"C14";"22uf";"CERAMIC-22UF-6.3V-20%-X5R(0805)";"C0805";"302010171";"";"CC0805MKX5R5BB226";"";"22uf";
"C15";"100uf";"TANTALUM-SMD-100UF-10V(AVX-B)";"AVX-B";"302020015";"";"TAJB107M010#NJ";"";"100uf";
"D1";"20V-1A";"SMD-DIODE-SCHOTTKY-20V-1A(SOD-123)";"SOD-123";"304020034";"";"B5819W";"";"20V-1A";
"D2";"20V-1A";"SMD-DIODE-SCHOTTKY-20V-1A(SOD-123)";"SOD-123";"304020034";"";"B5819W";"";"20V-1A";
"D3";"YELLOW-0603";"SMD-LED-CLEAR-YELLOW(0603)";"LED-0603";"304090044";"";"19-217-Y5C-AM1N1VY-3T";"";"YELLOW-0603";
"IC1";"74HC4051_MUX";"SPARKFUN_74HC4051_MUX";"SPARKFUN_SO16";"";"";"";"";"";
"J1";"2p-2.54";"DIP-BLACK-ROUND-FEMALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320030050";"";"RF130-1023ABS0741";"";"2p-2.54";
"J2";"1x12_MkrLeft";"CONN_12LOCK";"1X12_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"320020034";"";"";
"J3";"2p-2.54";"DIP-BLACK-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020016";"";"P125-1102A0BS116A1";"";"2p-2.54";
"J4";"2p-2.54";"DIP-BLACK-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020016";"";"P125-1102A0BS116A1";"";"2p-2.54";
"J5";"1x14_MkrRight";"CONN_14LOCK";"1X14_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"320020034";"";"";
"J6";"2P-2.54";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"";"P125-1102A0BS116A3";"";"2P-2.54";
"J7";"DNP";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"";"P125-1102A0BS116A3";"";"2P-2.54";
"J8";"MICRO-USB";"MICRO-USB5+4P'5+4P'";"MICRO-USB5+4P-SMD-0.65-B";"5+4P-SMD-0.65-B:320010000;5+2P-SMD-0.65-AB:340032001";"USB-MICROB";"2.54mm";"";"";
"J9";"DNP";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"";"P125-1102A0BS116A3";"";"2P-2.54";
"J10";"2P-2.54";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"";"P125-1102A0BS116A3";"";"2P-2.54";
"JP1";"ArduCam";"MILLER_PINHD-1X8LOCK";"MILLER_1X08-LOCK";"PIN HEADER";"";"";"";"";
"L1";"1uH";"INDUCTOR/FERRITE-BEAD'0603'";"L0603";"";"";"";"303010110";"";
"L2";"2.2UH-1.2A";"SMD-INDUCTOR-2.2UH-20%-1.2A(0805)";"L0805";"303010086";"";"LQM2MPN2R2MG0";"";"2.2UH-1.2A";
"R1";"10K";"SEEED-RESISTOR_SMD-RES-10K-5%-1/(0402)";"SEEED-RESISTOR_R0402";"301010004";"";"RC0402JR-0710KL";"";"10K";
"R2";"10K";"SEEED-RESISTOR_SMD-RES-10K-5%-1/(0402)";"SEEED-RESISTOR_R0402";"301010004";"";"RC0402JR-0710KL";"";"10K";
"R3";"10K";"SEEED-RESISTOR_SMD-RES-10K-5%-1/(0402)";"SEEED-RESISTOR_R0402";"301010004";"";"RC0402JR-0710KL";"";"10K";
"R4";"10K";"SEEED-RESISTOR_SMD-RES-10K-5%-1/(0402)";"SEEED-RESISTOR_R0402";"301010004";"";"RC0402JR-0710KL";"";"10K";
"R5";"10K";"SEEED-RESISTOR_SMD-RES-10K-5%-1/(0402)";"SEEED-RESISTOR_R0402";"301010004";"";"RC0402JR-0710KL";"";"10K";
"R6";"10K";"SEEED-RESISTOR_SMD-RES-10K-5%-1/(0402)";"SEEED-RESISTOR_R0402";"301010004";"";"RC0402JR-0710KL";"";"10K";
"R7";"100R";"SMD-RES-100R-5%-1/10W(0603)";"R0603";"301010090";"";"RC0603JR-07100RL";"";"100R";
"R8";"10K";"SEEED-RESISTOR_SMD-RES-10K-5%-1/(0402)";"SEEED-RESISTOR_R0402";"301010004";"";"RC0402JR-0710KL";"";"10K";
"R9";"100K";"SMD-RES-100K-1%-1/16W(0402)";"R0402";"301010456";"";"RC0402FR-07100KL";"301010666";"100K";
"R10";"22k";"SMD-RES-22K-1%-1/16W(0402)";"R0402";"";"";"RC0402FR-0722KL";"";"22k";
"R11";"100K";"SMD-RES-100K-1%-1/16W(0402)";"R0402";"301010456";"";"RC0402FR-07100KL";"301010666";"100K";
"R12";"22k";"SMD-RES-22K-1%-1/16W(0402)";"R0402";"";"";"RC0402FR-0722KL";"";"22k";
"R13";"3.3K";"SMD-RES-3.3K-5%-1/10W(0603)";"R0603";"301010112";"";"";"";"";
"R14";"0R";"SMD-RES-0R-5%-1/10W(0603)";"R0603";"301010292";"";"RC0603JR-070RL";"";"0R";
"R15";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";"RC0603JR-071KL";"";"1K 1/10W";
"R16";"0R";"SMD-RES-0R-5%-1/10W(0603)";"R0603";"301010292";"";"RC0603JR-070RL";"";"0R";
"U1";"DHT11";"TEM-HUM-DHT11(4P-15.5X12.0MM)";"SNR4-2.54-15.5X12.0X5.5MM";"314010000";"";"DHT11";"";"DHT11";
"U2";"ESP12F";"ESP-12F";"ESP-12F";"317060163";"";"";"";"";
"U3";"ETA3410D2I-T";"CONVERTER-ETA3410";"DFN8G-0.5-2X2MM";"3MHZ 2A High Step-Down Converter in DFN2x2-8L Package";"";"";"310030161";"";
"U4";"CN3065";"PMIC-CN3065-DFN8";"DFN-8";"310030101";"";"";"";"";
"U5";"ETA1036-50";"ETA1036";"SOT23-5";"";"";"ETA1036-50S2F-T";"";"";
